match_id,competition,period,event_index,team,opponent,player,minute,second,x,y,is_goal,true_xg,statsbomb_xg,body_part,shot_type,technique,play_pattern,under_pressure,is_first_time,assisted,n_defenders_in_cone,n_defenders_within_3m,distance_to_nearest_defender,gk_distance_to_goal,gk_distance_to_shot
1,FIFA World Cup 2018,2,0,Team C,Team S,Player 178,82,53,106.69557724655097,39.81518726745282,0,0.1916107872111987,,Right Foot,Open Play,Normal,Regular Play,False,False,False,1.0,1.0,4.30837902827349,2.2781651637456872,10.006146834932979
1,FIFA World Cup 2018,2,1,Team S,Team C,Player 252,74,42,102.49888467227316,44.54005872755587,0,0.1062413938156212,,Left Foot,Open Play,Normal,From Corner,False,False,True,1.0,0.0,1.1204249051150128,3.2807113453896415,15.91457839585114
1,FIFA World Cup 2018,1,2,Team C,Team S,Player 230,29,38,105.68592798153547,42.40557456401914,0,0.10534968862079837,,Left Foot,Open Play,Normal,Regular Play,True,True,False,3.0,1.0,6.212396000682213,3.661934025509777,8.328562271018486
1,FIFA World Cup 2018,2,3,Team S,Team C,Player 308,53,43,99.3695111433823,34.91413028068976,0,0.07049463097262954,,Right Foot,Open Play,Normal,Regular Play,False,True,True,1.0,3.0,1.8176916166036576,1.7056888707200186,18.997863013028642
1,FIFA World Cup 2018,1,4,Team S,Team C,Player 106,44,46,107.75537169629294,44.911842936329386,0,0.19064631196282106,,Right Foot,Open Play,Normal,Regular Play,True,False,True,0.0,0.0,0.9551842971701334,1.413425133567927,11.212402070090908
1,FIFA World Cup 2018,2,5,Team C,Team S,Player 76,68,19,109.60117855221266,36.27063616509381,0,0.1444275019617486,,Right Foot,Open Play,Normal,Regular Play,True,False,True,3.0,1.0,1.9269089160819162,2.7151307619475795,8.662200690319725
1,FIFA World Cup 2018,1,6,Team S,Team C,Player 218,13,31,115.65786924290411,29.807664644539226,0,0.1709861111488132,,Left Foot,Open Play,Normal,Regular Play,False,True,False,2.0,1.0,3.1653352437098405,0.1,11.380276482503069
1,FIFA World Cup 2018,1,7,Team S,Team C,Player 385,42,19,95.72457860967313,38.25501679257443,0,0.04547721160257369,,Left Foot,Open Play,Normal,Regular Play,False,True,False,2.0,1.0,0.9875596269588561,5.0541636789221975,18.05181395013368
1,FIFA World Cup 2018,2,8,Team C,Team S,Player 13,91,7,109.2052364656236,32.797335350276704,0,0.09058345705548593,,Right Foot,Open Play,Normal,Regular Play,False,False,False,4.0,2.0,3.1972184089977236,2.719881324666287,8.420521809115957
1,FIFA World Cup 2018,2,9,Team C,Team S,Player 306,79,34,110.96141161425389,27.82249749752163,0,0.1471973352521462,,Right Foot,Open Play,Normal,From Corner,False,False,True,0.0,0.0,2.5009149362329213,0.1,14.99226602014256
1,FIFA World Cup 2018,1,10,Team C,Team S,Player 3,19,57,97.77986870606803,40.336946418538595,0,0.03169157488430098,,Right Foot,Open Play,Normal,From Throw In,True,False,True,3.0,0.0,2.7996350801656797,1.1987343133199602,21.15968623658817
1,FIFA World Cup 2018,2,11,Team C,Team S,Player 110,57,27,108.0,40.0,0,0.759510916949111,,Head,Penalty,Normal,Regular Play,False,True,True,2.0,1.0,1.5012775607488587,3.8486328769511733,8.009973291669992
1,FIFA World Cup 2018,1,12,Team S,Team C,Player 172,23,35,115.23299088925879,71.95573886164448,0,0.008424344714226518,,Right Foot,Open Play,Normal,From Counter,True,False,True,2.0,1.0,0.6261276102046944,2.180335011989254,30.477262465956592
1,FIFA World Cup 2018,2,13,Team S,Team C,Player 335,65,50,104.46707051559294,40.00092832400556,0,0.0945692166766913,,Head,Open Play,Normal,Regular Play,True,True,True,1.0,0.0,0.8449617963637195,2.8152990701765663,13.437845547058508
1,FIFA World Cup 2018,2,14,Team S,Team C,Player 202,86,21,111.59087807057985,40.57713478191868,1,0.41828890566452476,,Left Foot,Corner,Normal,Regular Play,False,False,False,1.0,1.0,1.7236211690553846,2.8935945804569316,8.126334357533057
1,FIFA World Cup 2018,1,15,Team S,Team C,Player 254,31,5,115.02084848356127,54.300490541688546,0,0.027431455308755893,,Head,Open Play,Normal,Regular Play,True,False,False,3.0,0.0,4.6178175203551675,3.4388204109011937,11.417725235170057
